descricao_projeto,tipo_projeto,departamento,duracao_meses,orcamento,complexidade,recursos_disponiveis,metodologia,risco,entregas,tamanho_equipe,data_inicio,sucesso
Análise de dados financeiros,Infraestrutura,TI,2,524349.39,Média,1,XP,Baixo,5,9,2024-02-04,0
Integração de sistemas,Software,RH,10,716779.69,Média,0,Agile,Alto,6,18,2022-12-04,0
Desenvolvimento de aplicativo móvel,Marketing,Financeiro,24,588583.45,Baixa,1,Waterfall,Médio,9,16,2022-02-06,1
Desenvolvimento de aplicativo móvel,Pesquisa,Financeiro,16,608545.13,Média,0,Agile,Médio,5,9,2022-12-31,0
Campanha de marketing digital,Marketing,RH,19,364427.27,Baixa,0,Waterfall,Baixo,2,19,2021-06-11,0
Construção de dashboard de vendas,Construção,Financeiro,31,488980.37,Média,1,XP,Baixo,7,6,2021-07-21,0
Implementação de CRM,Pesquisa,Operações,11,124215.36,Média,0,Agile,Médio,6,15,2023-09-23,0
Análise de dados financeiros,Pesquisa,Marketing,6,389481.26,Média,0,Agile,Baixo,3,6,2021-09-27,0
Treinamento de equipe,Marketing,RH,6,711037.09,Média,1,XP,Baixo,8,5,2023-03-27,0
Construção de dashboard de vendas,Infraestrutura,TI,32,955555.23,Alta,1,Agile,Médio,3,29,2024-07-18,1
Pesquisa de satisfação do cliente,Pesquisa,Financeiro,13,964910.91,Alta,2,Waterfall,Médio,10,27,2022-04-01,1
Automatização de processos,Construção,Marketing,3,577936.73,Alta,0,Scrum,Médio,4,26,2024-06-29,0
Integração de sistemas,Infraestrutura,TI,35,626291.14,Média,2,Scrum,Médio,9,28,2023-10-14,1
Análise de dados financeiros,Infraestrutura,TI,17,226435.13,Alta,2,Waterfall,Médio,4,32,2021-10-23,0
Construção de dashboard de vendas,Infraestrutura,Operações,3,710542.7,Alta,2,Agile,Médio,2,25,2022-12-21,0
Construção de dashboard de vendas,Pesquisa,Marketing,34,117125.85,Média,1,Waterfall,Alto,9,7,2021-12-04,0
Integração de sistemas,Infraestrutura,RH,12,320451.4,Baixa,2,XP,Médio,10,30,2023-05-29,0
Campanha de marketing digital,Marketing,Marketing,24,684945.18,Baixa,0,Waterfall,Médio,8,31,2023-12-13,1
Implementação de CRM,Infraestrutura,Marketing,6,344794.62,Média,0,Scrum,Baixo,4,12,2023-03-03,0
Implementação de CRM,Construção,TI,11,97354.53,Alta,0,Kanban,Alto,6,9,2021-08-05,0
Construção de dashboard de vendas,Software,Operações,27,840276.89,Média,2,XP,Baixo,6,34,2023-02-03,1
Migração de banco de dados,Construção,Operações,24,344813.51,Média,1,Agile,Médio,2,3,2021-07-07,0
Construção de dashboard de vendas,Pesquisa,Marketing,18,109949.96,Baixa,2,Waterfall,Baixo,9,37,2022-01-15,0
Construção de dashboard de vendas,Infraestrutura,Marketing,27,121048.76,Baixa,1,XP,Médio,6,28,2022-05-08,0
Integração de sistemas,Infraestrutura,Financeiro,21,289170.86,Média,2,Scrum,Baixo,5,22,2023-12-01,0
Automatização de processos,Marketing,TI,34,219115.15,Alta,2,Agile,Médio,2,26,2024-03-26,0
Integração de sistemas,Infraestrutura,RH,33,785585.11,Média,2,Waterfall,Baixo,10,19,2021-01-15,1
Análise de dados financeiros,Construção,RH,18,355599.84,Alta,1,Waterfall,Médio,1,21,2021-03-06,0
Construção de dashboard de vendas,Pesquisa,Operações,3,814461.0,Baixa,2,Agile,Alto,7,37,2022-06-05,1
Implementação de CRM,Software,TI,24,215153.7,Média,2,Kanban,Baixo,4,10,2024-09-29,0
Treinamento de equipe,Infraestrutura,Operações,1,518235.22,Média,1,Kanban,Baixo,7,16,2024-02-27,0
Implementação de CRM,Software,RH,6,703635.28,Alta,1,XP,Médio,5,24,2022-10-10,0
Desenvolvimento de aplicativo móvel,Infraestrutura,Marketing,19,669391.31,Baixa,2,Waterfall,Alto,1,25,2023-12-23,1
Campanha de marketing digital,Pesquisa,TI,22,621072.94,Baixa,1,XP,Baixo,5,26,2024-03-08,1
Pesquisa de satisfação do cliente,Construção,TI,8,928580.52,Baixa,2,Agile,Baixo,4,1,2022-08-16,1
Análise de dados financeiros,Pesquisa,Financeiro,5,267098.89,Alta,0,XP,Médio,1,4,2022-01-27,0
Análise de dados financeiros,Software,Marketing,9,519033.24,Baixa,1,Waterfall,Baixo,10,37,2022-02-23,1
Campanha de marketing digital,Infraestrutura,Marketing,21,889792.92,Baixa,0,Kanban,Médio,2,14,2021-10-16,1
Treinamento de equipe,Software,Operações,28,123999.08,Média,1,Kanban,Alto,9,24,2022-01-14,0
Pesquisa de satisfação do cliente,Construção,TI,4,103093.85,Média,1,Agile,Baixo,1,27,2021-08-19,0
Automatização de processos,Pesquisa,Operações,24,271637.17,Alta,2,Scrum,Médio,10,27,2023-10-15,0
Construção de dashboard de vendas,Software,Marketing,8,651370.16,Alta,0,XP,Médio,4,24,2021-02-10,0
Pesquisa de satisfação do cliente,Software,Financeiro,17,296885.65,Média,2,Agile,Alto,8,40,2023-11-18,1
Treinamento de equipe,Construção,TI,34,230727.89,Alta,2,Kanban,Alto,5,1,2021-05-15,0
Migração de banco de dados,Infraestrutura,Marketing,20,485862.2,Média,1,Waterfall,Médio,10,39,2021-07-20,1
Desenvolvimento de aplicativo móvel,Software,Financeiro,16,632918.17,Baixa,1,Waterfall,Médio,7,13,2023-02-19,1
Pesquisa de satisfação do cliente,Construção,RH,10,286129.82,Alta,1,Scrum,Médio,2,20,2023-07-19,0
Pesquisa de satisfação do cliente,Infraestrutura,Marketing,34,335656.63,Média,1,Scrum,Baixo,4,38,2023-11-23,1
Desenvolvimento de aplicativo móvel,Infraestrutura,RH,10,632881.34,Média,0,Kanban,Baixo,4,36,2023-12-08,0
Construção de dashboard de vendas,Pesquisa,Operações,30,948451.5,Média,1,Scrum,Alto,1,12,2022-05-18,1
Pesquisa de satisfação do cliente,Construção,RH,30,691004.64,Média,2,Scrum,Médio,8,5,2022-02-11,1
Desenvolvimento de aplicativo móvel,Infraestrutura,Marketing,25,793758.94,Baixa,0,Waterfall,Baixo,3,5,2023-03-16,1
Desenvolvimento de aplicativo móvel,Pesquisa,RH,7,398469.59,Média,1,XP,Alto,4,17,2021-04-09,0
Desenvolvimento de aplicativo móvel,Marketing,TI,20,308641.64,Alta,2,Waterfall,Médio,2,38,2022-11-15,0
Integração de sistemas,Construção,Marketing,17,481554.36,Média,2,Waterfall,Baixo,10,10,2022-12-27,0
Treinamento de equipe,Marketing,Financeiro,3,816776.19,Baixa,2,Kanban,Baixo,5,16,2023-08-19,1
Integração de sistemas,Infraestrutura,RH,36,483484.66,Alta,2,Kanban,Baixo,5,24,2022-09-05,0
Migração de banco de dados,Construção,TI,26,854389.14,Baixa,1,XP,Alto,3,29,2022-10-05,1
Automatização de processos,Pesquisa,Operações,10,989333.38,Média,2,Agile,Alto,8,14,2023-10-26,1
Integração de sistemas,Infraestrutura,Operações,34,118425.33,Baixa,2,Scrum,Baixo,1,10,2024-05-26,0
Integração de sistemas,Construção,RH,14,93139.65,Baixa,1,Scrum,Alto,2,29,2022-05-18,0
Treinamento de equipe,Construção,Operações,8,192110.22,Média,1,Waterfall,Médio,1,28,2023-02-06,0
Automatização de processos,Marketing,Financeiro,27,415151.19,Média,1,Waterfall,Médio,6,17,2022-02-02,0
Campanha de marketing digital,Infraestrutura,Marketing,10,174490.1,Alta,1,XP,Baixo,4,5,2023-05-21,0
Desenvolvimento de aplicativo móvel,Pesquisa,TI,15,877131.25,Alta,1,Scrum,Médio,10,2,2023-03-06,0
Análise de dados financeiros,Pesquisa,RH,22,71988.94,Alta,1,Waterfall,Baixo,1,36,2022-01-28,0
Automatização de processos,Infraestrutura,Operações,31,350003.08,Média,1,Waterfall,Baixo,7,40,2021-07-26,1
Migração de banco de dados,Infraestrutura,Marketing,2,225459.9,Média,1,Kanban,Baixo,9,39,2023-11-05,0
Construção de dashboard de vendas,Software,Financeiro,31,934962.36,Alta,0,Agile,Baixo,5,9,2023-06-11,0
Migração de banco de dados,Marketing,Operações,14,686006.95,Média,2,XP,Alto,7,36,2023-05-14,1
Desenvolvimento de aplicativo móvel,Infraestrutura,Operações,10,916428.74,Média,0,Agile,Alto,4,5,2023-01-13,0
Automatização de processos,Infraestrutura,TI,30,973712.27,Média,0,Agile,Alto,4,15,2024-06-18,1
Migração de banco de dados,Software,Financeiro,36,522243.33,Média,1,XP,Baixo,4,9,2022-07-18,1
Migração de banco de dados,Software,Financeiro,15,272603.15,Média,1,Scrum,Médio,5,25,2023-10-18,0
Campanha de marketing digital,Construção,RH,14,234042.35,Média,0,Waterfall,Médio,8,28,2021-04-06,0
Campanha de marketing digital,Pesquisa,TI,31,261772.92,Média,1,XP,Baixo,4,27,2022-04-30,0
Automatização de processos,Marketing,RH,29,723163.64,Média,2,Waterfall,Baixo,7,33,2024-12-01,1
Desenvolvimento de aplicativo móvel,Construção,TI,27,88423.44,Média,1,Kanban,Médio,9,33,2021-08-19,0
Integração de sistemas,Infraestrutura,Financeiro,21,98793.02,Alta,1,Agile,Baixo,6,38,2023-01-19,0
Implementação de CRM,Software,TI,9,627735.8,Alta,0,Kanban,Alto,4,8,2024-04-09,0
Pesquisa de satisfação do cliente,Pesquisa,TI,20,659954.29,Baixa,1,Agile,Médio,5,4,2022-06-25,1
Análise de dados financeiros,Construção,TI,35,681999.78,Baixa,2,Scrum,Baixo,8,36,2023-11-26,1
Pesquisa de satisfação do cliente,Pesquisa,Marketing,15,403286.48,Média,1,XP,Médio,4,31,2022-06-09,0
Treinamento de equipe,Software,Marketing,24,815647.64,Média,2,Scrum,Baixo,4,10,2024-03-29,1
Campanha de marketing digital,Construção,Financeiro,16,556943.36,Baixa,1,Agile,Baixo,7,8,2024-06-20,1
Automatização de processos,Construção,TI,36,150192.35,Média,2,Kanban,Baixo,6,30,2024-01-15,1
Pesquisa de satisfação do cliente,Pesquisa,Financeiro,11,807244.34,Alta,2,Agile,Médio,1,14,2022-08-01,0
Desenvolvimento de aplicativo móvel,Software,Marketing,8,955414.4,Média,2,Scrum,Baixo,9,35,2022-11-13,1
Análise de dados financeiros,Infraestrutura,TI,3,107034.5,Média,2,Scrum,Médio,5,3,2022-07-11,0
Pesquisa de satisfação do cliente,Construção,RH,19,421783.77,Média,1,Kanban,Baixo,10,29,2023-10-10,0
Análise de dados financeiros,Infraestrutura,Marketing,3,513140.24,Média,2,Kanban,Baixo,2,16,2022-10-08,0
Construção de dashboard de vendas,Software,Marketing,36,189147.22,Baixa,1,Scrum,Baixo,5,10,2023-03-07,0
Desenvolvimento de aplicativo móvel,Construção,Marketing,25,874323.5,Média,2,Agile,Médio,8,4,2023-11-18,1
Implementação de CRM,Construção,TI,36,319942.16,Baixa,0,Agile,Médio,6,4,2024-09-25,0
Migração de banco de dados,Infraestrutura,Operações,11,793858.11,Média,1,XP,Médio,8,2,2024-09-16,0
Análise de dados financeiros,Marketing,RH,16,687444.76,Média,2,Scrum,Baixo,5,11,2024-10-03,0
Desenvolvimento de aplicativo móvel,Infraestrutura,RH,17,618143.53,Média,0,XP,Baixo,4,15,2024-06-08,0
Análise de dados financeiros,Infraestrutura,Financeiro,24,232535.71,Média,1,Scrum,Médio,10,11,2021-07-09,0
Análise de dados financeiros,Marketing,TI,17,259668.34,Média,2,XP,Baixo,3,23,2024-06-02,0
Integração de sistemas,Software,Marketing,20,94980.98,Baixa,1,Waterfall,Baixo,2,38,2024-11-09,0
Integração de sistemas,Software,Operações,22,278676.81,Baixa,1,Agile,Baixo,9,30,2024-11-01,1
Desenvolvimento de aplicativo móvel,Construção,TI,6,378171.43,Média,1,Agile,Médio,1,1,2024-07-30,0
Integração de sistemas,Pesquisa,TI,7,841488.04,Baixa,1,Waterfall,Médio,10,33,2022-09-25,1
Treinamento de equipe,Pesquisa,Operações,14,398073.03,Baixa,0,Kanban,Baixo,2,37,2022-09-20,1
Implementação de CRM,Construção,Marketing,11,766890.69,Média,0,Waterfall,Médio,6,23,2023-08-31,0
Automatização de processos,Pesquisa,TI,12,467470.17,Média,0,Agile,Médio,6,18,2024-07-06,0
Desenvolvimento de aplicativo móvel,Infraestrutura,RH,5,795624.9,Média,1,Scrum,Baixo,1,10,2024-10-14,0
Desenvolvimento de aplicativo móvel,Infraestrutura,RH,5,977458.02,Média,1,XP,Baixo,8,17,2022-12-11,1
Treinamento de equipe,Marketing,Operações,20,277849.48,Alta,2,Agile,Médio,4,7,2024-12-05,0
Campanha de marketing digital,Marketing,Marketing,15,869224.53,Alta,1,Waterfall,Médio,7,15,2022-10-11,0
Campanha de marketing digital,Construção,Operações,26,640732.88,Média,2,Scrum,Baixo,10,27,2021-11-14,1
Integração de sistemas,Construção,TI,33,826429.55,Alta,0,Agile,Médio,9,9,2024-06-02,0
Automatização de processos,Construção,RH,30,669006.61,Média,1,Waterfall,Médio,2,21,2024-06-11,1
Integração de sistemas,Infraestrutura,Financeiro,24,452752.03,Alta,1,Agile,Médio,7,37,2022-11-15,0
Construção de dashboard de vendas,Pesquisa,Operações,23,266671.19,Média,2,Waterfall,Baixo,1,29,2022-10-26,1
Construção de dashboard de vendas,Construção,Financeiro,9,116533.46,Média,2,Waterfall,Baixo,3,33,2024-10-29,0
Migração de banco de dados,Construção,Financeiro,3,558742.45,Média,2,Agile,Médio,4,6,2024-06-10,0
Construção de dashboard de vendas,Infraestrutura,RH,36,990809.79,Média,0,Scrum,Médio,3,25,2024-02-11,1
Campanha de marketing digital,Infraestrutura,Operações,7,751139.71,Média,2,Agile,Baixo,8,35,2022-03-18,1
Implementação de CRM,Infraestrutura,Financeiro,22,360978.26,Baixa,1,Agile,Médio,7,17,2022-07-18,0
Construção de dashboard de vendas,Pesquisa,TI,14,835844.56,Baixa,2,Scrum,Médio,3,27,2024-07-15,1
Integração de sistemas,Construção,Marketing,29,780534.8,Média,1,Agile,Médio,7,40,2024-11-10,1
Análise de dados financeiros,Software,Marketing,16,317554.0,Alta,1,XP,Baixo,2,25,2024-11-11,0
Desenvolvimento de aplicativo móvel,Software,RH,34,63592.12,Média,0,XP,Médio,3,12,2024-02-11,0
Implementação de CRM,Construção,Operações,10,162254.51,Média,1,XP,Médio,7,37,2023-08-10,0
Implementação de CRM,Construção,Operações,7,883440.88,Média,1,Waterfall,Baixo,10,40,2024-01-10,1
Integração de sistemas,Construção,Marketing,25,844734.88,Baixa,0,Kanban,Baixo,5,38,2022-11-30,1
Desenvolvimento de aplicativo móvel,Construção,TI,27,330448.55,Média,0,Agile,Baixo,9,25,2021-04-23,0
Campanha de marketing digital,Pesquisa,Marketing,15,320935.65,Média,2,Kanban,Médio,8,2,2021-01-02,0
Implementação de CRM,Software,Marketing,32,803221.74,Alta,1,XP,Baixo,6,1,2022-10-04,0
Migração de banco de dados,Marketing,Operações,28,940850.6,Baixa,2,Scrum,Alto,4,3,2021-08-08,1
Integração de sistemas,Software,Financeiro,9,790180.39,Média,2,XP,Alto,3,29,2023-05-05,1
Implementação de CRM,Software,TI,7,625299.74,Baixa,2,Agile,Alto,6,14,2024-06-02,1
Automatização de processos,Infraestrutura,Operações,16,280537.78,Baixa,2,Kanban,Médio,9,34,2022-01-20,1
Desenvolvimento de aplicativo móvel,Construção,Marketing,26,549460.52,Média,2,Kanban,Alto,5,22,2024-11-27,1
Construção de dashboard de vendas,Construção,Financeiro,35,271836.27,Média,1,Waterfall,Baixo,7,36,2024-02-28,1
Implementação de CRM,Construção,TI,17,817610.85,Baixa,0,Scrum,Médio,7,15,2023-12-13,1
Integração de sistemas,Infraestrutura,RH,23,417613.03,Baixa,1,XP,Baixo,7,37,2022-12-31,1
Construção de dashboard de vendas,Pesquisa,TI,8,842012.36,Média,1,Scrum,Baixo,9,10,2024-12-10,0
Migração de banco de dados,Pesquisa,TI,2,412528.76,Alta,0,Agile,Baixo,2,9,2021-09-04,0
Construção de dashboard de vendas,Marketing,Marketing,31,832941.93,Média,1,Waterfall,Médio,8,35,2023-04-16,1
Automatização de processos,Pesquisa,Marketing,32,366651.92,Média,1,XP,Baixo,2,17,2021-07-22,0
Campanha de marketing digital,Pesquisa,RH,29,468126.07,Baixa,2,Agile,Médio,1,18,2024-04-22,1
Implementação de CRM,Construção,RH,3,634714.0,Alta,1,Scrum,Alto,10,25,2021-05-03,0
Pesquisa de satisfação do cliente,Software,RH,8,116773.23,Média,1,Waterfall,Baixo,6,35,2022-02-05,0
Pesquisa de satisfação do cliente,Pesquisa,Operações,2,950796.71,Alta,1,XP,Médio,2,16,2023-02-06,0
Construção de dashboard de vendas,Pesquisa,Operações,31,594925.5,Baixa,1,Scrum,Médio,5,25,2021-10-21,1
Treinamento de equipe,Infraestrutura,Marketing,20,532429.01,Média,2,XP,Baixo,1,16,2021-10-07,0
Desenvolvimento de aplicativo móvel,Marketing,Marketing,29,847424.27,Média,0,Waterfall,Alto,7,24,2023-06-03,1
Pesquisa de satisfação do cliente,Infraestrutura,RH,17,872474.59,Baixa,1,Waterfall,Alto,1,12,2021-07-17,1
Treinamento de equipe,Construção,Operações,10,546147.38,Baixa,1,Scrum,Baixo,8,35,2023-09-09,1
Pesquisa de satisfação do cliente,Software,Financeiro,22,930899.21,Média,1,XP,Baixo,5,9,2023-01-22,1
Treinamento de equipe,Marketing,Operações,6,111500.88,Média,1,Kanban,Alto,5,37,2021-05-24,0
Desenvolvimento de aplicativo móvel,Infraestrutura,Marketing,34,157564.5,Baixa,1,Agile,Alto,3,32,2022-09-01,1
Análise de dados financeiros,Pesquisa,Operações,31,616948.82,Média,1,Waterfall,Médio,2,19,2024-05-09,1
Pesquisa de satisfação do cliente,Pesquisa,Marketing,12,386362.57,Baixa,1,XP,Baixo,6,22,2024-02-22,0
Automatização de processos,Marketing,RH,12,491013.91,Baixa,2,Scrum,Médio,4,34,2021-07-06,1
Implementação de CRM,Pesquisa,RH,16,361675.26,Média,1,Scrum,Baixo,10,19,2024-09-11,0
Treinamento de equipe,Infraestrutura,RH,25,434489.05,Média,1,Waterfall,Alto,4,12,2022-04-09,0
Implementação de CRM,Infraestrutura,Financeiro,22,831514.03,Média,1,Waterfall,Médio,6,18,2024-10-04,1
Integração de sistemas,Pesquisa,Financeiro,27,613802.39,Média,0,Kanban,Médio,2,5,2022-10-22,0
Integração de sistemas,Pesquisa,Marketing,24,997477.32,Média,2,Scrum,Baixo,2,26,2023-02-03,1
Desenvolvimento de aplicativo móvel,Construção,TI,12,797535.24,Média,1,XP,Médio,10,27,2023-08-13,1
Treinamento de equipe,Software,Financeiro,18,309982.94,Alta,2,Agile,Baixo,10,20,2022-02-07,0
Migração de banco de dados,Marketing,Marketing,16,301127.86,Média,1,Agile,Baixo,4,8,2024-10-01,0
Integração de sistemas,Infraestrutura,Operações,4,369103.36,Média,2,Kanban,Médio,6,16,2021-05-27,0
Desenvolvimento de aplicativo móvel,Marketing,RH,12,851096.51,Baixa,1,XP,Médio,2,2,2024-03-17,1
Integração de sistemas,Construção,RH,33,75923.27,Média,0,Agile,Médio,7,1,2023-05-14,0
Integração de sistemas,Infraestrutura,RH,22,268672.21,Média,0,Agile,Alto,8,5,2022-05-04,0
Migração de banco de dados,Construção,Marketing,18,909672.5,Média,1,XP,Baixo,9,31,2023-07-18,1
Pesquisa de satisfação do cliente,Construção,RH,33,657901.61,Média,1,XP,Médio,6,23,2022-07-05,1
Construção de dashboard de vendas,Pesquisa,Financeiro,27,265504.74,Baixa,1,Waterfall,Médio,2,21,2021-12-04,0
